dataDate,surfaceId,ticker,spotPrice,optionLabel,optionType,strike,moneyness,moneynessPct,expirationDate,daysToExpiration,yearsToExpiration,optionPrice,bid,ask,impliedVolatility,delta,gamma,theta,vega,volume,openInterest,inTheMoney
2025-05-23,surface_vol_20250523,AAPL,199.95,67% 0.25Y,CALL,135.0,0.6752,67,2025-07-18,56,0.1533,66.125,65.7,66.55,69.70245141601563,0.9456,0.00202,-0.0704,0.0863,10.0,610,True
2025-05-23,surface_vol_20250523,AAPL,199.95,67% 0.25Y,CALL,135.0,0.6752,67,2025-08-15,84,0.23,66.775,66.5,67.05,61.9388571777344,0.9344,0.002149,-0.0614,0.1224,1.0,80,True
2025-05-23,surface_vol_20250523,AAPL,199.95,67% 0.50Y,CALL,135.0,0.6752,67,2025-09-19,119,0.3258,67.725,67.25,68.2,57.556576782226564,0.9207,0.002249,-0.0565,0.1686,8.0,140,True
2025-05-23,surface_vol_20250523,AAPL,199.95,67% 0.50Y,CALL,135.0,0.6752,67,2025-10-17,147,0.4025,68.42500000000001,68.15,68.7,55.048056945800795,0.9126,0.002275,-0.053,0.2015,2.0,143,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.25Y,CALL,140.0,0.7002,70,2025-05-30,7,0.0192,59.95,59.55,60.35,50.0005,1.0,0.0,-0.0192,0.0,1.0,8,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.25Y,CALL,140.0,0.7002,70,2025-06-06,14,0.0383,60.1,59.6,60.6,111.328568359375,0.9602,0.001969,-0.1516,0.0336,4.0,7,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.25Y,CALL,140.0,0.7002,70,2025-06-13,21,0.0575,60.125,59.5,60.75,83.1056376953125,0.9715,0.001638,-0.0802,0.0313,3.0,4,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.25Y,CALL,140.0,0.7002,70,2025-06-20,28,0.0767,60.425,60.0,60.85,80.7619111328125,0.9575,0.002023,-0.0901,0.0501,2.0,916,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.25Y,CALL,140.0,0.7002,70,2025-06-27,35,0.0958,60.575,60.1,61.05,74.02369726562499,0.9546,0.002084,-0.0803,0.0591,1.0,7172,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.25Y,CALL,140.0,0.7002,70,2025-07-03,41,0.1123,60.5,59.9,61.1,65.77182666015625,0.9602,0.001948,-0.064,0.0575,2.0,12,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.25Y,CALL,140.0,0.7002,70,2025-07-18,56,0.1533,61.15,60.9,61.4,64.69761865234375,0.9411,0.002319,-0.0704,0.0919,256.0,696,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.25Y,CALL,140.0,0.7002,70,2025-08-15,84,0.23,61.9,61.55,62.25,58.325612060546874,0.9272,0.002474,-0.0628,0.1327,3.0,293,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.50Y,CALL,140.0,0.7002,70,2025-09-19,119,0.3258,62.975,62.7,63.25,54.77340148925782,0.9112,0.002571,-0.0583,0.1834,2.0,987,True
2025-05-23,surface_vol_20250523,AAPL,199.95,70% 0.50Y,CALL,140.0,0.7002,70,2025-10-17,147,0.4025,63.849999999999994,63.6,64.1,53.052227294921884,0.901,0.002589,-0.0555,0.221,3.0,95,True
2025-05-23,surface_vol_20250523,AAPL,199.95,72% 0.25Y,CALL,145.0,0.7252,72,2025-05-30,7,0.0192,54.975,54.6,55.35,231.25042187499994,0.8784,0.003155,-0.94,0.0559,71.0,10,True
2025-05-23,surface_vol_20250523,AAPL,199.95,72% 0.25Y,CALL,145.0,0.7252,72,2025-06-06,14,0.0383,55.1,54.7,55.5,101.5629921875,0.9577,0.002266,-0.1466,0.0353,2.0,11,True
2025-05-23,surface_vol_20250523,AAPL,199.95,72% 0.25Y,CALL,145.0,0.7252,72,2025-06-20,28,0.0767,55.55,55.2,55.9,77.29514892578125,0.9481,0.002484,-0.0995,0.0588,20.0,832,True
2025-05-23,surface_vol_20250523,AAPL,199.95,72% 0.25Y,CALL,145.0,0.7252,72,2025-06-27,35,0.0958,55.650000000000006,55.2,56.1,69.43389941406251,0.9479,0.00248,-0.0837,0.066,,69,True
2025-05-23,surface_vol_20250523,AAPL,199.95,72% 0.25Y,CALL,145.0,0.7252,72,2025-07-18,56,0.1533,56.35,55.95,56.75,61.71913281250001,0.9309,0.002752,-0.075,0.1041,1.0,189,True
2025-05-23,surface_vol_20250523,AAPL,199.95,72% 0.25Y,CALL,145.0,0.7252,72,2025-08-15,84,0.23,57.125,56.75,57.5,55.39595385742189,0.9171,0.002875,-0.0654,0.1465,1.0,81,True
2025-05-23,surface_vol_20250523,AAPL,199.95,72% 0.50Y,CALL,145.0,0.7252,72,2025-09-19,119,0.3258,58.225,57.95,58.5,51.91698474121094,0.901,0.002939,-0.0598,0.1988,2.0,294,True
2025-05-23,surface_vol_20250523,AAPL,199.95,72% 0.50Y,CALL,145.0,0.7252,72,2025-10-17,147,0.4025,59.25,59.0,59.5,50.80005255126954,0.8889,0.002939,-0.0574,0.2402,4.0,156,True
2025-05-23,surface_vol_20250523,AAPL,199.95,75% 0.25Y,CALL,150.0,0.7502,75,2025-05-30,7,0.0192,49.975,49.6,50.35,209.37547656249995,0.8728,0.003595,-0.8795,0.0577,2.0,20,True
2025-05-23,surface_vol_20250523,AAPL,199.95,75% 0.25Y,CALL,150.0,0.7502,75,2025-06-06,14,0.0383,50.125,49.65,50.6,94.33599414062499,0.9514,0.002728,-0.152,0.0394,5.0,26,True
